"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 23 23:33:26 UTC 2026","Thu Apr 23 23:33:26 UTC 2026","3","tests","test_users","TestCreateUser","","","test_create_user_missing_fields_returns_400",""
"passed","Thu Apr 23 23:33:26 UTC 2026","Thu Apr 23 23:33:26 UTC 2026","6","tests","test_users","TestUpdateUser","","","test_update_user_returns_200",""
"failed","Thu Apr 23 23:33:25 UTC 2026","Thu Apr 23 23:33:25 UTC 2026","6","tests","test_users","TestCreateUser","","","test_create_duplicate_user_returns_409",""
"passed","Thu Apr 23 23:33:26 UTC 2026","Thu Apr 23 23:33:26 UTC 2026","2","tests","test_users","TestCreateUser","","","test_create_user_invalid_age_returns_400",""
"failed","Thu Apr 23 23:33:26 UTC 2026","Thu Apr 23 23:33:26 UTC 2026","3","tests","test_users","TestGetUserByEmail","","","test_get_nonexistent_user_returns_404",""
"passed","Thu Apr 23 23:33:25 UTC 2026","Thu Apr 23 23:33:25 UTC 2026","3","tests","test_users","TestCreateUser","","","test_create_user_returns_201",""
"passed","Thu Apr 23 23:33:27 UTC 2026","Thu Apr 23 23:33:27 UTC 2026","2","tests","test_users","TestDeleteUser","","","test_delete_nonexistent_user_returns_404",""
"passed","Thu Apr 23 23:33:25 UTC 2026","Thu Apr 23 23:33:25 UTC 2026","8","tests","test_users","TestGetUsers","","","test_get_all_users_returns_200",""
"passed","Thu Apr 23 23:33:26 UTC 2026","Thu Apr 23 23:33:26 UTC 2026","2","tests","test_users","TestUpdateUser","","","test_update_nonexistent_user_returns_404",""
"passed","Thu Apr 23 23:33:26 UTC 2026","Thu Apr 23 23:33:26 UTC 2026","6","tests","test_users","TestDeleteUser","","","test_delete_user_returns_204",""
"failed","Thu Apr 23 23:33:26 UTC 2026","Thu Apr 23 23:33:26 UTC 2026","6","tests","test_users","TestDeleteUser","","","test_delete_without_auth_returns_401",""
"passed","Thu Apr 23 23:33:26 UTC 2026","Thu Apr 23 23:33:26 UTC 2026","6","tests","test_users","TestGetUserByEmail","","","test_get_existing_user_returns_200",""
